262
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
16;2;248175;7234400;F;J;I;2;16
0;1482;252750;7233915;M;A;I;2;21
0;1603;256710;7236435;M;C;I;2;22
0;1030;250515;7238415;F;A;I;2;23
0;998;254835;7237305;F;A;I;2;24
0;1123;248610;7239105;F;A;I;2;26
0;802;252165;7237935;M;C;I;2;27
0;1040;248415;7234815;M;J;I;2;28
0;1179;253305;7234740;F;A;I;2;29
0;1431;250335;7235835;M;A;I;2;30
0;1048;251955;7236990;F;A;I;2;31
8;77;255950;7239200;M;A;I;2;32
20;67;256125;7240575;F;C;I;2;33
0;1602;249735;7236465;F;A;I;2;34
0;357;251535;7233480;F;C;I;2;35
0;1267;257340;7239105;M;A;I;2;36
0;1613;249810;7237725;F;A;I;2;37
0;761;250140;7236570;F;A;I;2;38
0;1216;251535;7239000;F;A;I;2;39
0;1625;251055;7235265;M;C;I;2;40
0;49;249660;7238850;M;A;I;2;41
0;1393;250830;7238280;F;C;I;2;42
0;1614;249795;7235550;M;A;I;2;43
0;761;250140;7236570;M;J;I;2;44
0;1373;248595;7239405;M;J;I;2;45
0;985;252765;7235730;F;A;I;2;46
0;775;251460;7238070;M;A;I;2;47
0;1611;253515;7237845;M;J;I;2;48
0;1042;253575;7233690;M;A;I;2;49
0;1162;253965;7239705;M;A;I;2;50
5;73;256125;7236325;M;J;I;2;51
0;761;252915;7236240;F;J;I;2;52
0;1502;253185;7234335;M;A;I;2;53
26;74;255550;7238450;F;A;I;2;54
0;1658;257730;7239300;F;J;I;2;55
2;80;251675;7237150;M;C;I;2;56
0;1395;252045;7238595;F;J;I;2;57
0;1044;248670;7237620;F;A;I;2;58
5;130;255150;7235925;M;A;I;2;59
14;182;255825;7240825;F;A;I;2;59
0;1665;248850;7233915;M;C;I;2;59
0;757;256410;7236600;F;J;I;2;59
0;1577;251250;7239735;F;J;I;2;59
0;1195;250305;7237020;M;A;I;2;60
0;1357;251700;7235715;M;A;I;2;60
0;356;246045;7237155;F;A;I;2;60
0;1431;250185;7235850;F;C;I;2;60
0;1012;255285;7235565;M;A;I;2;61
14;156;255450;7240825;M;C;I;2;61
9;186;247400;7237525;F;C;I;2;61
5;57;256475;7236550;F;J;I;2;61
0;855;254325;7241430;M;A;I;2;62
0;1610;252075;7235970;F;J;I;2;62
0;122;246285;7237335;F;A;I;2;63
0;1121;248640;7237755;F;C;I;2;63
0;1113;250650;7239570;M;J;I;2;63
0;1410;255030;7241370;M;C;I;2;64
0;769;248790;7236750;F;C;I;2;64
8;9;256900;7238950;F;C;I;2;64
0;1002;251520;7237725;F;I;I;2;64
0;1002;252105;7237740;M;C;I;2;65
0;122;246150;7237275;M;J;I;2;65
0;1315;255165;7239930;F;J;I;2;65
2;193;251275;7238275;F;A;I;2;66
0;1246;250110;7238820;F;C;I;2;66
0;1606;251025;7237245;F;C;I;2;66
0;778;251640;7236225;F;C;I;2;66
0;1635;248700;7236720;M;A;I;2;67
23;96;253250;7235300;F;A;I;2;67
0;552;249765;7233405;F;C;I;2;67
0;804;254865;7240290;F;J;I;2;67
0;1360;250575;7235535;F;A;I;2;68
13;46;253400;7242225;M;C;I;2;68
0;1117;249465;7236945;F;C;I;2;68
0;30;246795;7235205;F;J;I;2;68
0;1101;254085;7235325;F;A;I;2;69
0;1486;250155;7237410;F;J;I;2;69
8;22;256325;7240075;F;J;I;2;69
0;1613;249150;7236315;F;A;I;2;70
14;18;254750;7240800;M;J;I;2;70
0;1039;248310;7234140;M;J;I;2;70
0;1463;251940;7239000;M;J;I;2;70
0;1501;253920;7239210;M;A;I;2;71
0;457;252810;7237845;M;A;I;2;71
0;1049;252315;7236315;F;C;I;2;71
0;130;247395;7237230;M;A;I;2;72
0;1390;249180;7237965;M;C;I;2;72
0;1419;250785;7233615;M;J;I;2;72
0;1094;255885;7239360;F;J;I;2;72
0;1513;253095;7235100;M;A;I;2;73
0;1223;256530;7239915;F;A;I;2;73
0;535;255570;7240530;F;C;I;2;73
0;769;248955;7236660;M;A;I;2;74
0;977;253830;7236345;F;A;I;2;74
0;1020;248535;7236645;F;J;I;2;74
0;1635;249030;7237320;F;I;I;2;75
0;1392;248880;7238100;M;J;I;2;75
0;963;257085;7238160;M;A;I;2;76
14;68;255700;7242575;M;A;I;2;76
0;462;256185;7238790;F;I;I;2;77
0;1020;249060;7238415;M;J;I;2;77
5;13;256600;7236325;F;A;I;2;78
21;34;256425;7237725;M;C;I;2;78
12;61;256600;7238575;M;C;I;2;79
0;766;253335;7236240;F;C;I;2;79
0;1517;256875;7238490;M;A;I;2;80
0;1602;248970;7235850;M;A;I;2;80
0;1480;253050;7234725;F;A;I;2;81
0;1093;253770;7241730;M;J;I;2;81
0;778;250530;7235100;F;A;I;2;82
0;65;249945;7233990;F;J;I;2;82
0;859;250965;7233495;M;J;I;2;83
1;39;253575;7241400;F;J;I;2;83
0;1360;250650;7237065;M;J;I;2;84
0;808;256710;7238715;M;J;I;2;84
28;131;246875;7235000;F;J;I;2;84
0;1296;250725;7235925;F;A;I;2;85
0;1580;250230;7235460;M;C;I;2;85
31;124;250150;7235525;F;A;I;2;86
0;970;249165;7236540;F;I;I;2;86
0;1486;252180;7237320;M;A;I;2;87
0;895;248010;7237995;F;C;I;2;87
0;1101;254085;7235325;F;A;I;2;88
0;1190;250260;7238820;M;J;I;2;88
0;1362;251070;7238010;M;C;I;2;89
31;118;250450;7235125;F;A;I;2;90
0;1364;252135;7235445;M;J;I;2;90
0;1193;250125;7236105;F;A;I;2;91
22;32;249500;7233875;F;A;I;2;91
0;1590;250290;7237545;M;J;I;2;91
0;1324;250650;7233615;M;A;I;2;92
0;1153;253155;7236345;F;C;I;2;92
0;1054;256110;7237005;F;A;I;2;93
5;103;255700;7236250;M;J;I;2;93
0;25;247590;7235340;F;A;I;2;94
0;1345;253590;7235205;M;C;I;2;94
2;144;252375;7238075;M;C;I;2;95
0;80;251685;7240545;F;C;I;2;95
0;1018;249510;7236360;M;A;I;2;96
0;970;249255;7236705;M;J;I;2;97
23;98;253325;7235300;M;A;I;2;98
8;15;256100;7239725;M;C;I;2;98
0;853;255345;7240905;M;C;I;2;99
0;399;252105;7233585;M;J;I;2;99
0;1180;247935;7234005;M;C;I;2;100
0;1317;255195;7240365;F;C;I;2;100
0;122;246030;7237215;M;I;I;2;101
0;1360;250620;7236585;F;J;I;2;101
0;1307;253260;7237755;F;C;I;2;102
0;131;247140;7236600;M;C;I;2;103
0;1609;252465;7236330;M;C;I;2;104
0;1153;253155;7236345;M;A;I;2;105
0;792;248565;7238985;M;J;I;2;105
0;130;247275;7236660;M;A;I;2;106
0;1324;251205;7233870;F;J;I;2;106
0;130;247080;7235760;F;C;I;2;107
0;805;254520;7239360;F;C;I;2;107
0;768;249315;7236255;F;I;I;2;107
0;1082;252465;7234200;M;A;I;2;108
23;50;253450;7234025;F;A;I;2;108
0;1385;255810;7237305;F;C;I;2;109
0;1260;251565;7238505;F;C;I;2;109
0;501;252390;7237695;M;A;I;2;110
31;129;250275;7236675;M;C;I;2;111
0;1418;253470;7242120;F;J;I;2;111
0;1309;256875;7237245;F;C;I;2;112
0;397;251790;7233885;F;J;I;2;112
5;101;255750;7236350;M;C;I;2;113
0;996;254895;7237245;M;J;I;2;113
0;1592;252750;7233630;M;A;I;2;114
14;30;255125;7242525;F;I;I;2;114
14;80;255225;7242350;M;A;I;2;115
0;765;248370;7237470;M;A;I;2;115
0;1590;249870;7237620;F;A;I;2;116
0;1054;256110;7237005;F;I;I;2;117
0;1224;257430;7239075;F;A;I;2;118
0;1509;251805;7238100;M;A;I;2;119
0;1353;250200;7235715;F;J;I;2;119
0;1363;251010;7236600;F;A;I;2;120
0;33;247335;7235325;F;A;I;2;120
0;407;251820;7233150;F;J;I;2;121
0;1117;249480;7237065;M;C;I;2;122
7;83;248575;7235425;F;C;I;2;122
0;1117;249480;7237065;M;A;I;2;123
0;426;249900;7235580;F;A;I;2;124
0;1439;247170;7236660;F;A;I;2;125
0;1364;251925;7235310;M;C;I;2;126
0;804;254865;7240665;F;A;I;2;127
0;1334;247800;7234170;F;C;I;2;128
26;83;255100;7238800;M;J;I;2;129
22;10;248950;7233825;M;C;I;2;130
0;1046;251145;7236645;F;C;I;2;131
0;1246;250110;7238565;F;A;I;2;132
17;8;246725;7234250;F;C;I;2;133
7;80;248900;7235325;F;C;I;2;134
0;1412;255825;7241805;M;C;I;2;135
0;902;246465;7234500;F;A;I;2;136
14;11;254875;7240750;F;J;I;2;137
22;14;249250;7233825;M;J;I;2;138
0;857;247740;7234650;F;J;I;2;139
0;1198;252960;7236165;F;A;I;2;140
0;1590;250290;7237545;M;C;I;2;141
0;782;252240;7235205;M;A;I;2;142
0;176;251220;7240665;M;C;I;2;143
0;1351;250665;7235955;M;C;I;2;144
0;1556;250410;7238685;M;C;I;2;145
0;101;248400;7239375;F;C;I;2;146
0;1219;250605;7239810;M;C;I;2;147
0;1372;248625;7237740;M;C;I;2;148
0;1021;249360;7239015;M;J;I;2;149
23;66;253200;7234775;M;A;I;2;150
0;377;248280;7239645;M;A;I;2;151
0;1048;251970;7237485;F;A;I;2;152
0;859;250830;7233435;F;A;I;2;153
0;1389;251640;7237875;M;A;I;2;154
0;1030;249405;7238475;M;I;I;2;155
0;1240;250065;7234080;F;J;I;2;156
0;579;250875;7238910;F;A;I;2;157
0;1296;250740;7236390;M;C;I;2;158
0;1248;250020;7236780;M;C;I;2;159
0;138;253455;7237935;M;A;I;2;160
0;457;252840;7237875;F;A;I;2;161
22;33;249600;7233850;M;C;I;2;162
0;186;254415;7237965;M;C;I;2;163
0;1216;251115;7239015;M;C;I;2;164
0;1046;251220;7238340;M;A;I;2;165
0;128;251655;7240785;M;C;I;2;166
23;168;253650;7234575;M;I;I;2;167
0;862;252660;7233630;M;I;I;2;168
2;64;253000;7238575;M;C;I;2;169
0;1621;251550;7237050;F;C;I;2;170
0;1021;249360;7239015;M;I;I;2;171
0;974;255420;7235940;F;C;I;2;172
0;127;247545;7236765;F;C;I;2;173
0;114;250500;7238220;M;A;I;2;174
0;1372;249570;7237710;F;A;I;2;175
0;1528;253695;7240545;F;J;I;2;176
0;1343;253395;7233720;F;C;I;2;177
0;1188;251340;7235820;F;C;I;2;178
0;109;251760;7236690;F;I;I;2;179
30;156;250425;7235050;M;A;I;2;180
0;1338;251145;7233105;F;C;I;2;181
0;745;251595;7232985;M;A;I;2;182
0;983;249135;7237200;F;C;I;2;183
26;74;255550;7238450;F;C;I;2;184
0;1393;250755;7238280;F;C;I;2;185
0;991;252165;7239150;F;C;I;2;186
0;88;257145;7237320;F;A;I;2;191
0;1606;251790;7237215;M;C;I;2;193
0;118;251295;7237140;F;A;I;2;194
0;804;254865;7240290;F;A;I;2;195
0;804;254865;7240290;M;C;I;2;196
0;1153;253155;7236345;F;C;I;2;198
0;1536;254160;7241850;M;A;I;2;200
0;1436;251220;7235415;M;C;I;2;201
2;66;252825;7238625;M;A;I;2;203
0;1154;252600;7235715;F;J;I;2;204
0;792;248565;7238985;F;A;I;2;205
0;792;248565;7238985;F;A;I;2;206
