Min;Max;Descricao
1;1;Quantidade de Simulacoes
214;214;Numero de Ciclos por Simulacao
33029;33029;Quantidade de Agentes Suscetiveis Crianca Masculino
0;0;Quantidade de Agentes Expostos Crianca Masculino
0;0;Quantidade de Agentes Infectados Crianca Masculino
0;0;Quantidade de Agentes Recuperados Crianca Masculino
32029;32029;Quantidade de Agentes Suscetiveis Crianca Feminino
0;0;Quantidade de Agentes Expostos Crianca Feminino 
0;0;Quantidade de Agentes Infectados Crianca Feminino
0;0;Quantidade de Agentes Recuperados Crianca Feminino
27508;27508;Quantidade de Agentes Suscetiveis Jovem Masculino
0;0;Quantidade de Agentes Expostos Jovem Masculino
0;0;Quantidade de Agentes Infectados Jovem Masculino
0;0;Quantidade de Agentes Recuperados Jovem Masculino
27144;27144;Quantidade de Agentes Suscetiveis Jovem Feminino
0;0;Quantidade de Agentes Expostos Jovem Feminino
0;0;Quantidade de Agentes Infectados Jovem Feminino
0;0;Quantidade de Agentes Recuperados Jovem Feminino
67768;67768;Quantidade de Agentes Suscetiveis Adulto Masculino
0;0;Quantidade de Agentes Expostos Adulto Masculino
0;0;Quantidade de Agentes Infectados Adulto Masculino
0;0;Quantidade de Agentes Recuperados Adulto Masculino
73023;73023;Quantidade de Agentes Suscetiveis Adulto Feminino
0;0;Quantidade de Agentes Expostos Adulto Feminino
0;0;Quantidade de Agentes Infectados Adulto Feminino
0;0;Quantidade de Agentes Recuperados Adulto Feminino
11466;11466;Quantidade de Agentes Suscetiveis Idoso Masculino
0;0;Quantidade de Agentes Expostos Idoso Masculino
0;0;Quantidade de Agentes Infectados Idoso Masculino
0;0;Quantidade de Agentes Recuperados Idoso Masculino
14238;14238;Quantidade de Agentes Suscetiveis Idoso Feminino
0;0;Quantidade de Agentes Expostos Idoso Feminino
0;0;Quantidade de Agentes Infectados Idoso Feminino
0;0;Quantidade de Agentes Recuperados Idoso Feminino
0.64;0.95;Taxa de Infeccao Crianca
3;5;Numero de Ciclos para Agente Exposto Crianca
4;6;Numero de Ciclos para Agente Infectado Crianca
400;450;Numero de Ciclos para Agente Recuperado Crianca
0.64;0.95;Taxa de Infeccao Jovem
3;5;Numero de Ciclos para Agente Exposto Jovem
4;6;Numero de Ciclos para Agente Infectado Jovem
400;450;Numero de Ciclos para Agente Recuperado Jovem
0.64;0.95;Taxa de Infeccao Adulto
3;5;Numero de Ciclos para Agente Exposto Adulto
4;6;Numero de Ciclos para Agente Infectado Adulto
400;450;Numero de Ciclos para Agente Recuperado Adulto
0.64;0.95;Taxa de Infeccao Idoso
3;5;Numero de Ciclos para Agente Exposto Idoso
4;6;Numero de Ciclos para Agente Infectado Idoso
400;450;Numero de Ciclos para Agente Recuperado Idoso
0.40;0.50;Taxa de Mobilidade para Agente Crianca
0.90;0.95;Taxa de Mobilidade para Agente Jovem
0.95;0.99;Taxa de Mobilidade para Agente Adulto
0.50;0.60;Taxa de Mobilidade para Agente Idoso
