Min;Max;Descricao
2;2;Quantidade de Agentes Suscetiveis Crianca Masculino
2;2;Quantidade de Agentes Expostos Crianca Masculino
2;2;Quantidade de Agentes Infectados Crianca Masculino
2;2;Quantidade de Agentes Recuperados Crianca Masculino
2;2;Quantidade de Agentes Suscetiveis Crianca Feminino
2;2;Quantidade de Agentes Expostos Crianca Feminino 
2;2;Quantidade de Agentes Infectados Crianca Feminino
2;2;Quantidade de Agentes Recuperados Crianca Feminino
2;2;Quantidade de Agentes Suscetiveis Jovem Masculino
2;2;Quantidade de Agentes Expostos Jovem Masculino
2;2;Quantidade de Agentes Infectados Jovem Masculino
2;2;Quantidade de Agentes Recuperados Jovem Masculino
2;2;Quantidade de Agentes Suscetiveis Jovem Feminino
2;2;Quantidade de Agentes Expostos Jovem Feminino
2;2;Quantidade de Agentes Infectados Jovem Feminino
2;2;Quantidade de Agentes Recuperados Jovem Feminino
2;2;Quantidade de Agentes Suscetiveis Adulto Masculino
2;2;Quantidade de Agentes Expostos Adulto Masculino
2;2;Quantidade de Agentes Infectados Adulto Masculino
2;2;Quantidade de Agentes Recuperados Adulto Masculino
2;2;Quantidade de Agentes Suscetiveis Adulto Feminino
2;2;Quantidade de Agentes Expostos Adulto Feminino
2;2;Quantidade de Agentes Infectados Adulto Feminino
2;2;Quantidade de Agentes Recuperados Adulto Feminino
2;2;Quantidade de Agentes Suscetiveis Idoso Masculino
2;2;Quantidade de Agentes Expostos Idoso Masculino
2;2;Quantidade de Agentes Infectados Idoso Masculino
2;2;Quantidade de Agentes Recuperados Idoso Masculino
2;2;Quantidade de Agentes Suscetiveis Idoso Feminino
2;2;Quantidade de Agentes Expostos Idoso Feminino
2;2;Quantidade de Agentes Infectados Idoso Feminino
2;2;Quantidade de Agentes Recuperados Idoso Feminino
0.90;0.95;Taxa de Infeccao Crianca
15;20;Numero de Ciclos para Agente Exposto Crianca
30;35;Numero de Ciclos para Agente Infectado Crianca
40;45;Numero de Ciclos para Agente Recuperado Crianca
0.90;0.95;Taxa de Infeccao Jovem
15;20;Numero de Ciclos para Agente Exposto Jovem
30;35;Numero de Ciclos para Agente Infectado Jovem
40;45;Numero de Ciclos para Agente Recuperado Jovem
0.90;0.95;Taxa de Infeccao Adulto
15;20;Numero de Ciclos para Agente Exposto Adulto
30;35;Numero de Ciclos para Agente Infectado Adulto
40;45;Numero de Ciclos para Agente Recuperado Adulto
0.90;0.95;Taxa de Infeccao Idoso
15;20;Numero de Ciclos para Agente Exposto Idoso
30;35;Numero de Ciclos para Agente Infectado Idoso
40;45;Numero de Ciclos para Agente Recuperado Idoso
0.50;0.60;Taxa de Mobilidade para Agente Crianca
0.90;0.95;Taxa de Mobilidade para Agente Jovem
0.95;0.99;Taxa de Mobilidade para Agente Adulto
0.60;0.70;Taxa de Mobilidade para Agente Idoso
